ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
18Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
19Aso12,0022-06-29,2,Asotin,1,SB,Andrenidae,Andrena,,
2Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
3Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
4Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
5Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
6Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
7Aso22,0022-06-29,2,Asotin,2,OLB,Andrenidae,Andrena,,
17Aso22,0022-06-29,2,Asotin,2,SB,Andrenidae,Andrena,"Head missing, recovered",
1Aso32,0022-06-29,2,Asotin,3,OLB,Andrenidae,Andrena,,
5Aso32,0022-06-29,2,Asotin,3,SB,Andrenidae,Andrena,,
1Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
2Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
3Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
4Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
5Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
6Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
7Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
8Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
9Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
10Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
11Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
12Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
13Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
14Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
15Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
16Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
17Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
18Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,missing abdomen,
19Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
20Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,missing head,
21Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
22Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
23Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
24Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
25Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
26Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
27Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
28Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
29Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
30Aso42,0022-06-29,2,Asotin,4,OLB,Andrenidae,Andrena,,
